SITE_CODE,SURVEY_DATE,SURVEY_AREA_SQM,SURVEY_HABITAT,SURVEY_REASON,SURVEY_PRIMAY_OFFICER,SURVET_SECONDARY_OFFICER,SURVEY_COMMENTS,SURVEY_SPECIES,LARVAL_DENSITY_1,LARVAL_DENSITY_2,LARVAL_DENSITY_3,LARVAL_DENSITY_4,LARVAL_DENSITY_P,LARVAL_DENSITY_AV,LANDING_RATE_SPECIES,LAND_RATE,TREATMENT_DATE,TREATMENT_AREA_SQM,TREATMENT_PRIMARY_OFFICER,TREATMENT_SECONDARY_OFFICER,TREATMENT_COMMENT,TREATMENT_METHOD,TREATMENT_CONTROL_AGENT,Qty (kg),Rate,EVALUATION_DATE,EVALUATION_OFFICER,EVALUATION_MET,SPECIES,SAMPLE_STAGE_1,SAMPLE_STAGE_2,SAMPLE_STAGE_3,SAMPLE_STAGE_4,SAMPLE_STAGE_P,SAMPLE_STAGE_AD,MORTAILTY_LAR,MORTALITY_P,MORTALITY_AD,MORTALITY_TOTAL,RUN_FORM_7
LOIS-1,3/03/2017,20000,Salt,Treatment Evaluation,RM,,1. No breeding,30. No mosquitoes,,,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,,
WP34-1,28/03/2017,2900,Salt,Recent Rain,KM,,5. Breeding mainly in shallow pools,1. Ae. Vigilax,10,10,,,,20,1. Ae. Vigilax,2. <10/ min,28/03/2017,2900,TR,,5. Breeding mainly in shallow pools,Ground,2. Prolink Pellets (kg),0.8700,3,,,,,,,,,,,,,,,
WP34-3,28/03/2017,4200,Fresh,Recent Rain,KM,,6. Breeding mainly in open areas,7. Cx. Sitiens,5,5,,,,10,,2. <10/ min,28/03/2017,4200,TR,,6. Breeding mainly in open areas,Ground,2. Prolink Pellets (kg),1.2600,3,,,,,,,,,,,,,,,
WP33-9,28/03/2017,1100,Salt,Recent Rain,KM,,1. No breeding,,,,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,,
WP34-4,28/03/2017,300,Salt,Recent Rain,KM,,5. Breeding mainly in shallow pools,1. Ae. Vigilax,25,25,,,,50,1. Ae. Vigilax,2. <10/ min,28/03/2017,300,TR,,5. Breeding mainly in shallow pools,Ground,2. Prolink Pellets (kg),0.0900,3,,,,,,,,,,,,,,,
C11-4,28/03/2017,9400,Fresh,Recent Rain,KM,,1. No breeding,,,,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,,
C44-4,28/03/2017,2000,Fresh,Recent Rain,KM,,9. Site flooded,7. Cx. Sitiens,50,,,,,50,,2. <10/ min,28/03/2017,2000,TR,,9. Site flooded,Ground,2. Prolink Pellets (kg),0.6000,3,,,,,,,,,,,,,,,
WP23-11,28/03/2017,0.08,Salt,Recent Rain,KM,,1. No breeding,,,,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,,
WP32-1,28/03/2017,1800,Fresh,Recent Rain,KM,,1. No breeding,,,,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,,
C43-4,28/03/2017,23200,Fresh,Recent Rain,KM,,1. No breeding,,,,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,,
C43-5,28/03/2017,10500,Fresh,Recent Rain,KM,,1. No breeding,,,,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,,
WP22-3,28/03/2017,1100,Fresh,Recent Rain,KM,,5. Breeding mainly in shallow pools,,5,5,,,,10,29. Unidentified,2. <10/ min,28/03/2017,1100,TR,,5. Breeding mainly in shallow pools,Ground,2. Prolink Pellets (kg),0.3300,3,,,,,,,,,,,,,,,
C11-1,28/03/2017,2100,Salt,Recent Rain,KM,,1. No breeding,,,,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,,
C11-3,28/03/2017,3300,Fresh,Recent Rain,KM,,1. No breeding,,,,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,,
WP22-3,28/03/2017,17500,Salt,Recent Rain,KM,,1. No breeding,,5,5,,,,10,29. Unidentified,2. <10/ min,28/03/2017,7800,TR,,5. Breeding mainly in shallow pools,Ground,2. Prolink Pellets (kg),2.3400,3,,,,,,,,,,,,,,,
CL44-9,28/03/2017,7800,Fresh,Recent Rain,KM,,5. Breeding mainly in shallow pools,,,,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,,
CL43-6,28/03/2017,600,Fresh,Recent Rain,KM,,1. No breeding,,,,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,,
RUIS-2,12/03/2017,20000,Salt,Tidal Inundation,RM,,14. No survey undertaken,29. Unidentified,,,,,,,,,12/03/2017,405059,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),48.6071,1.2,,,,,,,,,,,,,,,
RUIS-3,12/03/2017,20000,Salt,Tidal Inundation,RM,,14. No survey undertaken,29. Unidentified,,,,,,,,,12/03/2017,192926,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),23.1511,1.2,,,,,,,,,,,,,,,
G12-2,10/03/2017,20000,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,100,,,,,100,,,12/03/2017,104772,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),12.5726,1.2,,,,,,,,,,,,,,,
RUIS-5,10/03/2017,20000,Salt,Tidal Inundation,RM,,6. Breeding mainly in open areas,1. Ae. Vigilax,50,,,,,50,,,12/03/2017,378043,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),45.3652,1.2,13/03/2017,RM,Field,1. Ae. Vigilax,,,,,,,100,,,100,
PAIS-1,10/03/2017,20000,Salt,Tidal Inundation,RM,,6. Breeding mainly in open areas,1. Ae. Vigilax,50,30,20,,,100,,,12/03/2017,1194560,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),143.3472,1.2,13/03/2017,RM,Field,1. Ae. Vigilax,,,,,5,,95,,,95,
LAIS-1,10/03/2017,20000,Salt,Tidal Inundation,RM,,6. Breeding mainly in open areas,1. Ae. Vigilax,50,,,,,50,,,12/03/2017,1370779,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),164.4935,1.2,13/03/2017,RM,Field,1. Ae. Vigilax,,,,,,,100,,,100,
LOIS-1,10/03/2017,20000,Salt,Tidal Inundation,RM,,6. Breeding mainly in open areas,1. Ae. Vigilax,20,,,,,20,,,12/03/2017,1120184,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),134.4221,1.2,13/03/2017,RM,Field,1. Ae. Vigilax,,,,,,,100,,,100,
GAIS-1,12/03/2017,20000,Salt,Tidal Inundation,RM,,14. No survey undertaken,29. Unidentified,,,,,,,,,12/03/2017,218761,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),26.2513,1.2,,,,,,,,,,,,,,,
MCIS-4,12/03/2017,20000,Salt,Tidal Inundation,RM,,14. No survey undertaken,29. Unidentified,,,,,,,,,12/03/2017,107252,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),12.8702,1.2,,,,,,,,,,,,,,,
MCIS-2,12/03/2017,20000,Salt,Tidal Inundation,RM,,14. No survey undertaken,29. Unidentified,,,,,,,,,12/03/2017,16150,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),1.9380,1.2,,,,,,,,,,,,,,,
PLIS-1,12/03/2017,20000,Salt,Tidal Inundation,RM,,14. No survey undertaken,29. Unidentified,,,,,,,,,12/03/2017,299060,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),35.8872,1.2,,,,,,,,,,,,,,,
RB11-1,11/03/2017,20000,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,25,,,,,25,,,12/03/2017,34926,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),4.1911,1.2,13/03/2017,TR,Field,1. Ae. Vigilax,,,,,,,100,,,100,
RB14-12,11/03/2017,20000,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,25,,,,,25,,,12/03/2017,56292,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),6.7550,1.2,13/03/2017,TR,Field,1. Ae. Vigilax,,,,,,,100,,,100,
C44-6,11/03/2017,20000,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,10,20,20,,,50,,,12/03/2017,189698,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),22.7638,1.2,13/03/2017,TR,Field,1. Ae. Vigilax,,,,,,,100,,,100,
CL32-5,11/03/2017,20000,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,25,,,,,25,,,12/03/2017,32685,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),3.9222,1.2,13/03/2017,TR,Field,1. Ae. Vigilax,,,,,,,100,,,100,
RB14-12,11/03/2017,20000,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,25,,,,,25,,,12/03/2017,56292,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),6.7550,1.2,13/03/2017,TR,Field,1. Ae. Vigilax,,,,,,,100,,,100,
RB14-4,11/03/2017,20000,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,25,,,,,25,,,12/03/2017,49606,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),5.9527,1.2,13/03/2017,TR,Field,1. Ae. Vigilax,,,,,,,100,,,100,
RB13-5,11/03/2017,20000,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,10,,,,,10,,,12/03/2017,96247,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),11.5496,1.2,13/03/2017,TR,Field,1. Ae. Vigilax,,,,,,,100,,,100,
RB14-11,11/03/2017,20000,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,25,,,,,25,,,12/03/2017,204951,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),24.5941,1.2,13/03/2017,TR,Field,1. Ae. Vigilax,,,,,,,100,,,100,
RB14-10,11/03/2017,20000,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,25,,,,,25,,,12/03/2017,35146,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),4.2175,1.2,13/03/2017,TR,Field,1. Ae. Vigilax,,,,,,,100,,,100,
W44-1,11/03/2017,20000,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,35,5,,,,40,,,12/03/2017,134102,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),16.0922,1.2,13/03/2017,TR,Field,1. Ae. Vigilax,,,,,,,100,,,100,
G12-3,11/03/2017,20000,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,25,,,,,25,,,12/03/2017,11098,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),1.3318,1.2,13/03/2017,TR,Field,1. Ae. Vigilax,,,,,,,100,,,100,
G12-4,11/03/2017,20000,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,40,10,,,,50,,,12/03/2017,69986,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),8.3983,1.2,13/03/2017,TR,Field,1. Ae. Vigilax,,,,,,,100,,,100,
NSIS-1,12/03/2017,0,Salt,Tidal Inundation,RM,,14. No survey undertaken,29. Unidentified,25,,,,,25,,,12/03/2017,871102,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),104.5322,1.2,,,,,,,,,,,,,,,
PAIS-1,10/03/2017,0,Salt,Tidal Inundation,RM,,,,,,,,,,,,12/03/2017,1194560,RM,,11. McDermotts Aviation used,Aerial,A. Prolink Liquid (Lt),32.2531,0.27,,,,,,,,,,,90,,,90,
C44-6,11/03/2017,0,Salt,Tidal Inundation,RM,,,,,,,,,,,,12/03/2017,189698,RM,,11. McDermotts Aviation used,Aerial,A. Prolink Liquid (Lt),5.1218,0.27,,,,,,,,,,,,,,,
GAIS-1,12/03/2017,0,Salt,Tidal Inundation,RM,,,,,,,,,,,,12/03/2017,218761,RM,,11. McDermotts Aviation used,Aerial,A. Prolink Liquid (Lt),5.9065,0.27,,,,,,,,,,,,,,,
RUIS-2,12/03/2017,0,Salt,Tidal Inundation,RM,,,,,,,,,,,,12/03/2017,405059,RM,,11. McDermotts Aviation used,Aerial,A. Prolink Liquid (Lt),10.9366,0.27,,,,,,,,,,,,,,,
RUIS-5,12/03/2017,0,Salt,Tidal Inundation,RM,,,,,,,,,,,,12/03/2017,378043,RM,,11. McDermotts Aviation used,Aerial,A. Prolink Liquid (Lt),10.2072,0.27,,,,,,,,,,,,,,,
CL32-5,20/03/2017,20000,Salt,Recent Rain,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,20,,,,,20,,,22/03/2017,38822,RM,,11. McDermotts Aviation used,Aerial,5. Vectobac WG (kg),1.9411,0.5,23/03/2017,TR,Field,1. Ae. Vigilax,,,,,,,100,,,100,
RB14-4,20/03/2017,20000,Salt,Recent Rain,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,20,,,,,20,,,22/03/2017,4537,RM,,11. McDermotts Aviation used,Aerial,5. Vectobac WG (kg),0.2269,0.5,23/03/2017,TR,Field,1. Ae. Vigilax,,,,,,,100,,,100,
RB14-11,20/03/2017,20000,Salt,Recent Rain,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,20,,,,,20,,,22/03/2017,296536,RM,,11. McDermotts Aviation used,Aerial,5. Vectobac WG (kg),14.8268,0.5,23/03/2017,TR,Field,1. Ae. Vigilax,,,,,,,100,,,100,
RB14-12,20/03/2017,20000,Salt,Recent Rain,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,20,,,,,20,,,22/03/2017,62000,RM,,11. McDermotts Aviation used,Aerial,5. Vectobac WG (kg),3.1000,0.5,23/03/2017,TR,Field,1. Ae. Vigilax,,,,,,,100,,,100,
RB13-5,20/03/2017,20000,Salt,Recent Rain,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,20,,,,,20,,,22/03/2017,108523,RM,,11. McDermotts Aviation used,Aerial,5. Vectobac WG (kg),5.4262,0.5,23/03/2017,TR,Field,1. Ae. Vigilax,,,,,,,100,,,100,
W44-1,20/03/2017,20000,Salt,Recent Rain,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,20,15,,,,35,,,22/03/2017,180047,RM,,11. McDermotts Aviation used,Aerial,5. Vectobac WG (kg),9.0024,0.5,23/03/2017,TR,Field,1. Ae. Vigilax,,,,,,,100,,,100,
G12-2,20/03/2017,20000,Salt,Recent Rain,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,20,15,,,,35,,,22/03/2017,135747,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),6.7874,0.5,23/03/2017,TR,Field,1. Ae. Vigilax,,,,,,,100,,,100,
G12-3,20/03/2017,20000,Dry,Recent Rain,TR,,1. No breeding,30. No mosquitoes,20,15,,,,35,,,,,,,,,,0.0000,,,,,,,,,,,,,,,,
G12-4,20/03/2017,20000,Salt,Recent Rain,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,20,15,,,,35,,,22/03/2017,56343,RM,,11. McDermotts Aviation used,Aerial,5. Vectobac WG (kg),2.8172,0.5,,,,,,,,,,,,,,,
PAIS-1,20/03/2017,20000,Salt,Recent Rain,RM,,6. Breeding mainly in open areas,1. Ae. Vigilax,10,,,3,,13,,,22/03/2017,1210559,RM,,11. McDermotts Aviation used,Aerial,B. Teknar 1200SC (Lt),145.2671,1.2,23/03/2017,RM,Field,1. Ae. Vigilax,,,,,,,95,,,95,
PAIS-1,20/03/2017,20000,Salt,Recent Rain,RM,,6. Breeding mainly in open areas,1. Ae. Vigilax,,,,,,5,1. Ae. Vigilax,2. <10/ min,22/03/2017,1210559,RM,,11. McDermotts Aviation used,Aerial,A. Prolink Liquid (Lt),35.1062,0.29,,,,,,,,,,,,,,,
LAIS-1,20/03/2017,20000,Salt,Recent Rain,RM,,6. Breeding mainly in open areas,1. Ae. Vigilax,,,,,,5,1. Ae. Vigilax,2. <10/ min,22/03/2017,1400824,RM,,11. McDermotts Aviation used,Aerial,B. Teknar 1200SC (Lt),168.0989,1.2,23/03/2017,RM,Field,1. Ae. Vigilax,,,,,,,98,,,98,
LOIS-1,20/03/2017,20000,Salt,Recent Rain,RM,,6. Breeding mainly in open areas,1. Ae. Vigilax,,,,,,5,1. Ae. Vigilax,2. <10/ min,22/03/2017,778791,RM,,11. McDermotts Aviation used,Aerial,B. Teknar 1200SC (Lt),93.4549,1.2,23/03/2017,RM,Field,1. Ae. Vigilax,,,,,,,100,,,100,
RUIS-2,20/03/2017,20000,Salt,Recent Rain,TS,,6. Breeding mainly in open areas,1. Ae. Vigilax,45,,4,,,49,1. Ae. Vigilax,2. <10/ min,22/03/2017,410439,RM,,11. McDermotts Aviation used,Aerial,B. Teknar 1200SC (Lt),49.2527,1.2,,,,,,,,,,,,,,,
RUIS-2,20/03/2017,0,Salt,Recent Rain,TS,,6. Breeding mainly in open areas,1. Ae. Vigilax,,,,,,,,,22/03/2017,410439,RM,,11. McDermotts Aviation used,Aerial,A. Prolink Liquid (Lt),11.9027,0.29,,,,,,,,,,,,,,,
RUIS-3,20/03/2017,20000,Salt,Recent Rain,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,30,,,,,30,1. Ae. Vigilax,2. <10/ min,22/03/2017,171770,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),20.6124,1.2,,,,,,,,,,,,,,,
RUIS-5,20/03/2017,20000,Salt,Recent Rain,TS,,6. Breeding mainly in open areas,1. Ae. Vigilax,50,,,,,50,1. Ae. Vigilax,2. <10/ min,22/03/2017,340034,RM,,11. McDermotts Aviation used,Aerial,B. Teknar 1200SC (Lt),40.8041,1.2,,,,,,,,,,,,,,,
RUIS-5,20/03/2017,0,Salt,Recent Rain,TS,,6. Breeding mainly in open areas,1. Ae. Vigilax,,,,,,,,,22/03/2017,340034,RM,,11. McDermotts Aviation used,Aerial,A. Prolink Liquid (Lt),9.8610,0.29,,,,,,,,,,,,,,,
MCIS-2,20/03/2017,20000,Salt,Recent Rain,TS,,6. Breeding mainly in open areas,1. Ae. Vigilax,,,,,,,,,22/03/2017,11566,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),1.3879,1.2,,,,,,,,,,,,,,,
MCIS-2,20/03/2017,0,Salt,Recent Rain,TS,,6. Breeding mainly in open areas,1. Ae. Vigilax,,,,,,,,,22/03/2017,11566,RM,,11. McDermotts Aviation used,Aerial,A. Prolink Liquid (Lt),0.3354,0.29,,,,,,,,,,,,,,,
MCIS-4,20/03/2017,20000,Salt,Recent Rain,TS,,6. Breeding mainly in open areas,1. Ae. Vigilax,30,,,,,30,1. Ae. Vigilax,3. >10/ min,22/03/2017,104459,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),12.5351,1.2,,,,,,,,,,,,,,,
MCIS-4,20/03/2017,0,Salt,Recent Rain,TS,,6. Breeding mainly in open areas,1. Ae. Vigilax,,,,,,,,,22/03/2017,104459,RM,,11. McDermotts Aviation used,Aerial,A. Prolink Liquid (Lt),3.0293,0.29,,,,,,,,,,,,,,,
GAIS-1,22/03/2017,20000,Salt,Recent Rain,RM,,14. No survey undertaken,29. Unidentified,,,,,,,,,22/03/2017,246227,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),29.5472,1.2,,,,,,,,,,,,,,,
GAIS-1,22/03/2017,0,Salt,Recent Rain,RM,,14. No survey undertaken,29. Unidentified,,,,,,,,,22/03/2017,246227,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),7.1406,0.29,,,,,,,,,,,,,,,
WP22-28,20/03/2017,20000,Salt,Recent Rain,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,,,,,,,,,22/03/2017,48440,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),5.8128,1.2,,,,,,,,,,,,,,,
WP22-28,20/03/2017,0,Salt,Recent Rain,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,,,,,,,,,22/03/2017,48440,RM,,11. McDermotts Aviation used,Aerial,A. Prolink Liquid (Lt),1.4048,0.29,,,,,,,,,,,,,,,
NSIS-1,22/03/2017,0,Salt,Recent Rain,RM,,14. No survey undertaken,29. Unidentified,,,,,,,,,22/03/2017,828961,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),99.4753,1.2,,,,,,,,,,,,,,,
PLIS-1,22/03/2017,0,Salt,Recent Rain,RM,,14. No survey undertaken,29. Unidentified,,,,,,,,,22/03/2017,324335,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),16.2168,0.5,,,,,,,,,,,,,,,
LOIS-1,20/03/2017,20000,Salt,Recent Rain,RM,,6. Breeding mainly in open areas,1. Ae. Vigilax,,,,,,5,1. Ae. Vigilax,2. <10/ min,22/03/2017,320000,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),16.0000,0.5,,,,,,,,,,,,,,,
C44-6,22/03/2017,0,Salt,Recent Rain,RM,,14. No survey undertaken,29. Unidentified,,,,,,,,,22/03/2017,181750,RM,,11. McDermotts Aviation used,Aerial,B. Teknar 1200SC (Lt),21.8100,1.2,,,,,,,,,,,,,,,
C44-6,22/03/2017,0,Salt,Recent Rain,RM,,14. No survey undertaken,29. Unidentified,,,,,,,,,22/03/2017,181750,RM,,11. McDermotts Aviation used,Aerial,A. Prolink Liquid (Lt),5.2708,0.29,,,,,,,,,,,,,,,
CL31-9,29/03/2017,13500,Fresh,Recent Rain,MJ,,5. Breeding mainly in shallow pools,,,,,,,5,,,29/03/2017,13500,TR,,5. Breeding mainly in shallow pools,Ground,1. Prolink Prosand (kg),4.0500,3,,,,,,,,,,,,,,,
CL31-15,29/03/2017,8900,Brackish,Recent Rain,MJ,,5. Breeding mainly in shallow pools,,,,,,,5,,,29/03/2017,8900,TR,,5. Breeding mainly in shallow pools,Ground,2. Prolink Pellets (kg),2.6700,3,,,,,,,,,,,,,,,
WP33-2,31/03/2017,2000,Salt,Recent Rain,MJ,,5. Breeding mainly in shallow pools,1. Ae. Vigilax,5,5,5,2,,17,,,31/03/2017,2000,TS,,5. Breeding mainly in shallow pools,Ground,1. Prolink Prosand (kg),0.6000,3,,,,,,,,,,,,,,,
WP33-1,31/03/2017,5000,Salt,Recent Rain,MJ,,5. Breeding mainly in shallow pools,1. Ae. Vigilax,5,5,5,2,,17,,,31/03/2017,5000,TS,,5. Breeding mainly in shallow pools,Ground,1. Prolink Prosand (kg),1.5000,3,,,,,,,,,,,,,,,
WP33-4,31/03/2017,1200,Dry,Recent Rain,MJ,,5. Breeding mainly in shallow pools,7. Cx. Sitiens,5,5,5,3,,17,,,31/03/2017,1200,TS,,5. Breeding mainly in shallow pools,Ground,1. Prolink Prosand (kg),0.3600,3,,,,,,,,,,,,,,,
EP33-7,31/03/2017,1000,Salt,Recent Rain,MJ,,5. Breeding mainly in shallow pools,1. Ae. Vigilax,,,20,,,20,,,31/03/2017,,,,,,,0.0000,,,,,,,,,,,,,,,,
WP23-10,31/03/2017,800,Salt,Recent Rain,MJ,,14. No survey undertaken,29. Unidentified,,,,,,,,,31/03/2017,800,TS,,5. Breeding mainly in shallow pools,Ground,2. Prolink Pellets (kg),0.2400,3,,,,,,,,,,,,,,,
WP23-8,31/03/2017,2200,Salt,Recent Rain,MJ,,14. No survey undertaken,29. Unidentified,,,,,,,,,31/03/2017,2200,TS,,5. Breeding mainly in shallow pools,Ground,2. Prolink Pellets (kg),0.6600,3,,,,,,,,,,,,,,,
CL43-6,31/03/2017,600,Fresh,Recent Rain,MJ,,14. No survey undertaken,29. Unidentified,,,,,,,,,31/03/2017,600,TS,,5. Breeding mainly in shallow pools,Ground,2. Prolink Pellets (kg),0.1800,3,,,,,,,,,,,,,,,
CL13-2,31/03/2017,800,Salt,Recent Rain,MJ,,14. No survey undertaken,29. Unidentified,,,,,,,,,31/03/2017,800,TS,,5. Breeding mainly in shallow pools,Ground,2. Prolink Pellets (kg),0.2400,3,,,,,,,,,,,,,,,
CL31-16,31/03/2017,3100,Salt,Recent Rain,MJ,,14. No survey undertaken,29. Unidentified,,,,,,,,,31/03/2017,3100,TS,,5. Breeding mainly in shallow pools,Ground,2. Prolink Pellets (kg),0.9300,3,,,,,,,,,,,,,,,
CL31-14,31/03/2017,2700,Salt,Recent Rain,MJ,,14. No survey undertaken,29. Unidentified,,,,,,,,,31/03/2017,2700,TS,,5. Breeding mainly in shallow pools,Ground,2. Prolink Pellets (kg),0.8100,3,,,,,,,,,,,,,,,
CL31-3,31/03/2017,500,Fresh,Recent Rain,MJ,,14. No survey undertaken,29. Unidentified,,,,,,,,,31/03/2017,500,TS,,5. Breeding mainly in shallow pools,Ground,2. Prolink Pellets (kg),0.1500,3,,,,,,,,,,,,,,,
RB13-5,31/03/2017,10000,Salt,Recent Rain,KM,,9. Site flooded,29. Unidentified,,,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,,
RB11-5,31/03/2017,10000,Salt,Recent Rain,KM,,6. Breeding mainly in open areas,1. Ae. Vigilax,20,,15,15,,50,,,,,,,,,,0.0000,,,,,,,,,,,,,,,,
RB21-3,31/03/2017,1000,Salt,Recent Rain,KM,,9. Site flooded,,,,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,,
R12-1,31/03/2017,1873,Salt,Recent Rain,KM,,9. Site flooded,,,,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,,
R21-2,31/03/2017,1619,Salt,Recent Rain,KM,,9. Site flooded,,,,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,,
PTTN33-6,31/03/2017,2631,Salt,Recent Rain,KM,,9. Site flooded,,,,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,,
PTTN33-2,31/03/2017,1200,Salt,Recent Rain,KM,,9. Site flooded,,,,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,,
W44-1,31/03/2017,1800,Salt,Recent Rain,KM,,9. Site flooded,,,,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,,
G12-2,31/03/2017,2000,Salt,Recent Rain,KM,,9. Site flooded,,,,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,,
RB21-1,5/06/2017,1500,Salt,Routine,TR,, , ,,,,,,,,,5/06/2017,1500,TR,,6. Breeding mainly in open areas,Ground,4. Vectobac G (kg),1.0500,7,,,,,,,,,,,,,,,
RB21-2,5/06/2017,110,Drain,Routine,TR,,6. Breeding mainly in open areas,7. Cx. Sitiens,,5,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,,
RB21-3,5/06/2017,300,Salt,Routine,TR,,,,,,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,,
RB21-4,5/06/2017,5700,Salt,Routine,TR,,,,,,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,,
RB21-5,5/06/2017,100,Drain,Routine,TR,,,,,,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,,
RB24-1,5/06/2017,1200,Brackish,Routine,TR,,6. Breeding mainly in open areas,7. Cx. Sitiens,,5,,,,,,,5/06/2017,1200,TR,,6. Breeding mainly in open areas,Ground,4. Vectobac G (kg),0.8400,7,,,,,,,,,,,,,,,
